# Production's answers for src/ng/paralog/production_parity.rs — frozen at promotion plan step C4.
#
# Every value below was computed by production's paralog filter — src/paralog/ and
# src/var_calling/paralog_filter/calibrate.rs — at commit d9e7b076, on the inputs the named
# test in production_parity.rs builds, by that test instrumented to write out what production
# returned. ng's copy agreed with each value at that commit, within the tolerances the test states.
#
# Format: one `key<TAB>value` per line. The key's first segment names the test's section.
# An f64 is its IEEE-754 bit pattern as 16 hex digits, so NaN and -0.0 survive; an Option<f64>
# is that or `none`; counts are decimal; booleans are `true`/`false`. A probe ratio or target
# in a key is written with Rust's `{:?}`.
sweep/1/0/ratio	405547d44ed9aa32
sweep/1/0/real_variant	c0671baa6e66b41f
sweep/1/0/hidden_paralog	c058ef808df3be0c
sweep/1/0/samples_used	1
sweep/1/0/confident_homalt_carriers	1
sweep/1/1/ratio	405eee4148eeb2ec
sweep/1/1/real_variant	c070922c3fe3937a
sweep/1/1/hidden_paralog	c061ad37db4fcd7e
sweep/1/1/samples_used	1
sweep/1/1/confident_homalt_carriers	0
sweep/1/2/ratio	402edd01dfed5730
sweep/1/2/real_variant	c0633f698242c24c
sweep/1/2/hidden_paralog	c06151996443ecd9
sweep/1/2/samples_used	1
sweep/1/2/confident_homalt_carriers	0
sweep/1/3/ratio	4061a49167f7af56
sweep/1/3/real_variant	c06f4e4f0c073251
sweep/1/3/hidden_paralog	c05b537b481f05f6
sweep/1/3/samples_used	1
sweep/1/3/confident_homalt_carriers	0
sweep/1/4/ratio	40275f987a4b0a60
sweep/1/4/real_variant	c0712359fd7dcb55
sweep/1/4/hidden_paralog	c070685d39ab7302
sweep/1/4/samples_used	1
sweep/1/4/confident_homalt_carriers	0
sweep/1/5/ratio	40b2468b96d6397c
sweep/1/5/real_variant	c0b36be96fd025ca
sweep/1/5/hidden_paralog	c07255dd8f9ec4da
sweep/1/5/samples_used	1
sweep/1/5/confident_homalt_carriers	1
sweep/1/6/ratio	0000000000000000
sweep/1/6/real_variant	0000000000000000
sweep/1/6/hidden_paralog	0000000000000000
sweep/1/6/samples_used	0
sweep/1/6/confident_homalt_carriers	0
sweep/1/7/ratio	c02a4f2d23af40a0
